x,y
39.744,83.808
78.624,127.008
72.576,126.144
52.704,127.872
46.656,169.344
43.2,63.936
70.848,326.592
42.336,127.008
80.352,127.008
79.488,130.464
84.672,42.336
52.704,36.288
84.672,126.144
82.944,149.472
84.672,83.808
43.2,104.544
28.512,96.768
169.344,148.608
60.48,106.272
55.296,43.2
42.336,108.0
87.264,128.736
60.48,126.144
83.808,146.88
69.984,63.936
31.968,85.536
85.536,86.4
86.4,106.272
87.264,126.144
61.344,149.472
35.424,127.008
59.616,127.008
81.216,62.208
77.76,103.68
43.2,168.48
90.72,148.608
63.072,84.672
54.432,213.408
63.936,84.672
73.44,72.576
36.288,148.608
51.84,104.544
57.888,127.872
31.104,161.568
50.112,150.336
50.976,127.008
39.744,125.28
63.936,127.008
43.2,105.408
70.848,157.248
44.064,199.584
33.696,158.976
35.424,62.208
81.216,63.072
62.208,85.536
31.968,125.28
68.256,127.008
69.12,126.144
51.84,103.68
60.48,147.744
31.968,125.28
78.624,126.144
65.664,126.144
51.84,105.408
57.888,125.28
63.936,108.0
55.296,106.272
88.992,63.072
33.696,77.76
60.48,119.232
64.8,101.952
59.616,103.68
70.848,91.584
26.784,114.912
31.968,114.912
59.616,148.608
35.424,149.472
69.12,148.608
63.936,122.688
61.344,131.328
69.984,168.48
79.488,72.576
46.656,62.208
62.208,114.912
48.384,104.544
32.832,166.752
49.248,117.504
31.968,125.28
67.392,168.48
33.696,187.488
81.216,170.208
76.896,102.816
85.536,84.672
31.968,106.272
73.44,62.208
33.696,76.032
51.84,126.144
65.664,105.408
57.888,187.488
91.584,146.016
42.336,102.816
31.104,127.008
72.576,63.936
42.336,104.544
35.424,104.544
48.384,42.336
60.48,115.776
74.304,85.536
40.608,66.528
95.904,81.216
61.344,132.192
82.944,85.536
80.352,101.952
31.104,103.68
36.288,147.744
36.288,114.912
42.336,125.28
50.112,73.44
69.12,66.528
33.696,105.408
31.968,151.2
38.88,42.336
65.664,158.112
39.744,61.344
38.016,73.44
80.352,87.264
44.928,102.816
42.336,105.408
42.336,127.872
41.472,126.144
88.128,147.744
31.968,126.144
41.472,147.744
43.2,84.672
64.8,104.544
33.696,105.408
31.104,83.808
31.104,125.28
73.44,64.8
81.216,83.808
82.944,103.68
50.112,148.608
58.752,106.272
44.064,85.536
41.472,167.616
72.576,126.144
38.016,150.336
48.384,165.888
53.568,128.736
33.696,82.944
66.528,64.8
52.704,127.008
68.256,64.8
47.52,104.544
63.072,62.208
76.032,104.544
59.616,123.552
73.44,126.144
31.968,148.608
81.216,106.272
49.248,170.208
50.112,149.472
43.2,129.6
55.296,87.264
74.304,63.936
65.664,169.344
63.936,54.432
42.336,63.072
52.704,147.744
38.88,85.536
52.704,127.872
80.352,105.408
76.896,114.912
42.336,126.144
73.44,127.008
31.968,85.536
49.248,103.68
81.216,167.616
32.832,77.76
51.84,104.544
51.84,64.8
31.104,42.336
47.52,62.208
44.928,114.048
74.304,139.104
42.336,144.288
44.064,130.464
40.608,82.08
68.256,146.88
52.704,114.912
31.968,82.944
31.104,129.6
44.064,101.088
51.84,138.24
25.056,92.448
57.888,63.936
64.8,45.792
69.12,127.008
95.04,91.584
52.704,108.0
42.336,106.272
35.424,72.576
42.336,92.448
52.704,139.104
45.792,120.096
26.784,145.152
31.968,108.0
40.608,109.728
34.56,121.824
64.8,55.296
81.216,116.64
76.032,124.416
63.072,61.344
32.832,158.112
64.8,104.544
63.072,41.472
42.336,107.136
26.784,126.144
50.976,106.272
37.152,82.08
42.336,168.48
48.384,168.48
32.832,127.872
58.752,127.008
54.432,63.072
48.384,82.944
37.152,147.744
66.528,124.416
38.016,127.872
53.568,127.008
39.744,65.664
57.888,84.672
76.032,117.504
52.704,127.008
57.024,116.64
39.744,105.408
74.304,127.008
49.248,97.632
60.48,65.664
62.208,180.576
35.424,140.832
94.176,148.608
35.424,125.28
78.624,146.88
31.968,128.736
82.944,128.736
69.984,105.408
62.208,125.28
69.984,127.008
43.2,148.608
36.288,106.272
44.064,63.072
35.424,57.888
41.472,190.08
73.44,198.72
32.832,119.232
51.84,123.552
63.072,143.424
92.448,102.816
33.696,103.68
43.2,107.136
42.336,132.192
38.016,102.816
52.704,127.872
52.704,74.304
53.568,90.72
40.608,72.576
53.568,77.76
69.12,63.072
36.288,101.952
88.128,124.416
82.944,105.408
57.888,102.816
41.472,124.416
50.976,164.16
25.92,164.16
41.472,114.912
45.792,148.608
73.44,136.512
48.384,125.28
67.392,61.344
43.2,85.536
62.208,108.864
28.512,127.872
52.704,105.408
79.488,168.48
57.888,85.536
63.936,63.072
29.376,116.64
31.104,148.608
57.888,118.368
28.512,127.872
32.832,128.736
38.016,127.008
35.424,47.52
66.528,125.28
57.024,128.736
59.616,127.008
63.936,126.144
81.216,105.408
5.184,124.416
30.24,41.472
71.712,156.384
53.568,84.672
82.08,131.328
44.064,105.408
47.52,137.376
31.104,69.984
57.888,124.416
51.84,61.344
42.336,147.744
74.304,63.936
38.88,85.536
31.104,170.208
73.44,63.936
72.576,92.448
77.76,126.144
85.536,105.408
74.304,126.144
63.936,95.04
64.8,85.536
41.472,85.536
84.672,166.752
85.536,86.4
63.072,63.072
31.968,83.808
64.8,184.032
38.016,123.552
32.832,127.872
99.36,126.144
38.88,68.256
76.896,106.272
29.376,167.616
43.2,124.416
53.568,146.88
31.968,127.008
77.76,149.472
45.792,84.672
53.568,63.936
57.888,106.272
42.336,64.8
58.752,106.272
32.832,171.936
57.888,107.136
44.928,127.008
43.2,107.136
54.432,83.808
41.472,125.28
78.624,114.912
72.576,63.072
69.984,83.808
69.12,63.936
72.576,114.048
52.704,83.808
32.832,94.176
47.52,147.744
50.112,156.384
38.016,91.584
77.76,101.088
82.08,158.976
37.152,83.808
82.08,148.608
33.696,146.016
79.488,95.904
38.016,76.032
61.344,84.672
57.024,84.672
47.52,128.736
74.304,111.456
31.104,120.96
84.672,141.696
32.832,109.728
63.936,147.744
63.936,61.344
50.976,137.376
47.52,137.376
36.288,130.464
34.56,114.912
32.832,103.68
63.072,103.68
73.44,68.256
79.488,87.264
87.264,63.072
83.808,100.224
78.624,146.016
31.104,105.408
57.888,107.136
64.8,120.96
69.12,122.688
38.016,111.456
74.304,178.848
63.072,105.408
32.832,101.088
32.832,116.64
27.648,41.472
76.032,130.464
69.12,82.944
48.384,63.936
44.928,104.544
50.976,123.552
36.288,140.832
85.536,139.104
38.016,98.496
54.432,40.608
69.984,115.776
71.712,126.144
34.56,105.408
51.84,60.48
38.016,146.88
59.616,43.2
36.288,118.368
73.44,85.536
55.296,104.544
82.08,107.136
36.288,104.544
75.168,65.664
63.936,63.936
76.032,127.008
37.152,168.48
65.664,147.744
44.928,87.264
69.12,147.744
44.064,170.208
83.808,106.272
41.472,61.344
83.808,108.0
46.656,105.408
63.936,94.176
95.04,127.872
84.672,105.408
69.984,124.416
42.336,103.68
64.8,127.872
63.936,107.136
97.632,63.936
31.104,127.872
63.936,124.416
51.84,146.016
64.8,64.8
59.616,83.808
65.664,63.072
58.752,106.272
31.968,127.008
31.104,127.872
31.104,105.408
43.2,63.936
31.968,113.184
31.968,83.808
46.656,127.008
58.752,63.072
51.84,126.144
80.352,86.4
40.608,85.536
59.616,112.32
79.488,81.216
48.384,126.144
37.152,104.544
64.8,125.28
67.392,101.952
60.48,96.768
56.16,114.048
38.88,102.816
44.064,146.016
31.968,95.04
86.4,102.816
63.936,63.072
37.152,136.512
38.016,138.24
31.104,135.648
69.12,120.096
31.104,116.64
52.704,134.784
74.304,108.864
65.664,106.272
31.968,146.016
53.568,184.896
31.968,118.368
104.544,83.808
47.52,51.84
50.976,84.672
46.656,104.544
59.616,107.136
40.608,105.408
27.648,126.144
52.704,146.016
44.928,127.872
89.856,105.408
72.576,126.144
38.016,127.008
32.832,105.408
62.208,104.544
50.112,84.672
31.104,152.064
74.304,115.776
54.432,103.68
69.984,107.136
55.296,106.272
30.24,127.008
56.16,124.416
44.928,124.416
84.672,106.272
63.936,148.608
72.576,128.736
48.384,129.6
50.976,43.2
54.432,64.8
64.8,63.072
90.72,94.176
41.472,91.584
31.104,135.648
53.568,42.336
52.704,62.208
36.288,88.992
48.384,133.056
62.208,106.272
72.576,75.168
33.696,101.952
69.984,98.496
64.8,131.328
41.472,106.272
31.968,64.8
31.968,82.08
63.072,150.336
69.12,111.456
39.744,168.48
54.432,82.08
59.616,85.536
57.888,106.272
44.928,106.272
67.392,85.536
44.064,106.272
50.976,171.072
72.576,63.072
49.248,43.2
98.496,85.536
73.44,126.144
26.784,126.144
42.336,159.84
103.68,134.784
69.12,126.144
82.944,150.336
63.072,63.072
41.472,145.152
31.968,181.44
63.072,83.808
37.152,82.944
45.792,127.872
85.536,146.016
67.392,107.136
39.744,86.4
61.344,127.872
31.104,124.416
31.104,105.408
31.104,149.472
87.264,150.336
62.208,84.672
35.424,127.008
63.936,71.712
41.472,147.744
66.528,127.008
69.984,108.0
31.104,106.272
68.256,158.976
31.968,112.32
47.52,106.272
76.032,124.416
41.472,145.152
36.288,107.136
64.8,83.808
53.568,63.072
30.24,105.408
115.776,107.136
57.024,128.736
47.52,126.144
54.432,118.368
67.392,120.96
77.76,114.048
42.336,103.68
25.92,125.28
31.968,169.344
73.44,128.736
92.448,117.504
36.288,101.088
34.56,66.528
44.064,63.936
59.616,106.272
83.808,83.808
41.472,124.416
63.072,190.944
56.16,190.944
60.48,151.2
34.56,106.272
63.072,168.48
35.424,104.544
37.152,168.48
88.128,146.016
65.664,128.736
101.088,63.072
74.304,126.144
52.704,62.208
41.472,144.288
83.808,127.008
64.8,125.28
74.304,147.744
38.88,104.544
84.672,129.6
75.168,106.272
32.832,127.872
52.704,146.016
53.568,106.272
78.624,147.744
27.648,84.672
41.472,85.536
52.704,82.944
79.488,82.944
82.08,104.544
62.208,116.64
31.968,65.664
68.256,118.368
47.52,115.776
67.392,116.64
57.024,166.752
52.704,86.4
52.704,106.272
57.888,104.544
49.248,145.152
42.336,86.4
95.904,103.68
53.568,127.872
64.8,62.208
33.696,62.208
37.152,84.672
73.44,116.64
72.576,148.608
40.608,105.408
63.936,105.408
44.064,124.416
43.2,165.888
69.984,169.344
72.576,123.552
41.472,114.912
31.968,127.008
44.928,74.304
69.12,111.456
31.968,105.408
77.76,126.144
31.968,127.008
39.744,103.68
54.432,64.8
28.512,109.728
33.696,107.136
59.616,177.12
37.152,83.808
69.12,127.008
31.104,114.048
50.976,99.36
67.392,133.056
55.296,88.128
31.968,128.736
46.656,136.512
39.744,102.816
82.944,129.6
30.24,62.208
67.392,138.24
40.608,82.08
63.936,139.104
30.24,119.232
69.984,84.672
84.672,44.064
85.536,127.872
39.744,156.384
31.968,127.872
58.752,83.808
53.568,186.624
31.968,172.8
63.072,104.544
88.128,150.336
57.888,124.416
111.456,117.504
42.336,171.072
51.84,110.592
69.984,76.896
50.976,105.408
37.152,106.272
37.152,125.28
58.752,127.008
63.936,83.808
49.248,104.544
41.472,129.6
34.56,127.008
31.104,127.872
50.976,146.88
65.664,85.536
44.064,133.056
38.88,136.512
69.984,83.808
38.88,63.936
56.16,124.416
76.896,106.272
31.104,127.008
39.744,92.448
75.168,104.544
29.376,64.8
43.2,117.504
63.936,146.88
31.104,105.408
63.936,104.544
35.424,128.736
40.608,126.144
41.472,62.208
51.84,127.008
74.304,98.496
78.624,112.32
64.8,115.776
80.352,133.056
69.984,129.6
33.696,111.456
63.072,106.272
30.24,172.8
28.512,93.312
39.744,126.144
33.696,298.08
52.704,66.528
35.424,63.072
76.032,62.208
31.968,105.408
52.704,147.744
36.288,106.272
85.536,152.064
42.336,146.016
73.44,98.496
42.336,164.16
84.672,63.936
61.344,167.616
63.072,187.488
87.264,88.992
31.968,83.808
64.8,63.936
67.392,168.48
52.704,103.68
63.936,146.88
41.472,82.944
52.704,150.336
41.472,190.944
59.616,148.608
66.528,104.544
59.616,104.544
39.744,107.136
50.976,118.368
41.472,80.352
38.88,78.624
75.168,161.568
42.336,165.888
25.92,169.344
73.44,93.312
69.984,125.28
41.472,112.32
59.616,197.856
63.072,80.352
81.216,88.992
35.424,201.312
53.568,107.136
74.304,146.016
90.72,84.672
40.608,125.28
31.968,41.472
38.88,117.504
86.4,104.544
61.344,126.144
59.616,127.872
41.472,209.088
28.512,145.152
43.2,61.344
32.832,140.832
56.16,190.08
39.744,127.872
51.84,147.744
28.512,62.208
47.52,84.672
49.248,63.072
32.832,83.808
25.056,165.888
82.944,126.144
25.92,87.264
25.92,126.144
44.928,106.272
50.976,146.016
31.104,86.4
37.152,190.08
42.336,63.936
41.472,118.368
30.24,127.872
43.2,155.52
54.432,85.536
83.808,124.416
72.576,168.48
31.104,127.008
31.968,148.608
38.016,120.96
47.52,94.176
31.968,157.248
71.712,119.232
44.064,136.512
42.336,85.536
66.528,149.472
44.928,43.2
37.152,118.368
71.712,87.264
69.12,143.424
41.472,166.752
76.032,90.72
83.808,104.544
35.424,127.008
71.712,209.088
35.424,111.456
37.152,147.744
31.968,155.52
38.016,174.528
31.968,151.2
31.968,154.656
69.12,63.072
41.472,101.952
33.696,126.144
105.408,103.68
44.928,62.208
53.568,169.344
64.8,146.016
44.064,147.744
31.968,126.144
69.984,166.752
68.256,148.608
31.968,104.544
42.336,108.0
55.296,84.672
45.792,63.936
66.528,83.808
50.976,149.472
31.968,170.208
47.52,114.048
63.072,189.216
54.432,127.008
40.608,86.4
26.784,126.144
31.104,143.424
78.624,108.0
38.016,85.536
43.2,146.016
89.856,145.152
57.024,168.48
69.12,127.008
42.336,190.08
44.928,113.184
31.104,209.952
63.072,196.128
31.968,228.96
39.744,112.32
83.808,211.68
38.88,151.2
25.056,165.024
76.896,149.472
79.488,82.944
50.112,151.2
102.816,102.816
31.968,187.488
69.12,127.008
32.832,107.136
63.072,127.872
43.2,187.488
83.808,107.136
67.392,126.144
63.072,126.144
43.2,127.872
87.264,146.016
32.832,210.816
73.44,95.904
86.4,190.08
83.808,150.336
66.528,149.472
82.08,185.76
47.52,146.016
50.976,176.256
69.12,252.288
63.072,108.864
48.384,127.872
49.248,125.28
91.584,147.744
77.76,171.936
52.704,169.344
29.376,96.768
25.92,149.472
52.704,163.296
60.48,106.272
67.392,127.008
65.664,127.872
59.616,127.008
68.256,150.336
51.84,128.736
33.696,127.872
64.8,149.472
68.256,82.944
73.44,146.88
42.336,102.816
76.032,147.744
33.696,65.664
68.256,63.936
69.12,128.736
43.2,189.216
69.984,167.616
42.336,148.608
95.04,61.344
60.48,124.416
75.168,124.416
72.576,127.008
38.016,191.808
69.984,114.912
24.192,63.072
31.968,127.008
83.808,67.392
54.432,62.208
74.304,64.8
53.568,127.008
31.104,147.744
76.032,127.872
38.016,168.48
26.784,104.544
44.064,108.864
41.472,127.008
69.12,146.88
44.064,212.544
38.88,124.416
31.104,136.512
36.288,63.072
31.104,63.072
58.752,62.208
61.344,105.408
60.48,106.272
56.16,127.872
30.24,84.672
63.936,185.76
