temp;feels_like;temp_min;temp_max;pressure;humidity;wind_speed;rain_1h;rain_3h;snow_1h;snow_3h;clouds_all
2.57;2.57;-0.18;13.47;1025;76;0;;;;;40
3.22;1.92;-0.18;13.47;1027;74;1.5;;;;;90
5.84;3.45;-0.18;6.15;1027;66;3.1;;;;;90
0.82;0.82;-0.18;13.37;1025;97;0;;;;;90
0.74;-0.91;-0.18;13.37;1028;100;1.5;;;;;90
-0.46;-2.99;-2.18;13.97;1026;96;2;;;;;40
-0.03;-5.34;-1.18;13.97;1028;100;5.7;;;;;90
-1.18;-6.45;-1.18;1.13;1028;100;5.1;;;;;90
-0.01;-2.47;-1.18;13.77;1026;90;2;;;;;40
-1.49;-6.19;-4.11;1.53;1027;86;4.1;;;;;90
-0.35;-0.35;-1.98;12.47;1025;86;0;;;;;75
0.48;-5.78;-0.18;1.71;1027;66;8.2;;;;;75
2.07;-1.01;-0.11;11.97;1024;67;3;;;;;40
2.74;-3.34;-0.11;11.97;1026;63;9.8;;;;;40
2.5;-3.51;0.82;5.6;1026;61;9.3;;;;;40
3.51;0.72;1.09;12.27;1022;59;3;;;;;20
3.21;3.21;0.82;12.27;1025;60;0.45;;;;;20
0.82;-5.14;0.82;1.13;1024;69;7.7;;;;;20
0.9;-1.41;-0.18;11.27;1022;74;2;;;;;20
1.44;-3.72;-0.18;11.27;1024;62;6.2;;;;;75
-0.11;-2.58;-2.61;11.27;1022;79;2;;;;;40
0.42;-5.24;-2.61;11.27;1024;74;6.7;;;;;90
0.57;-4.82;-1.74;4.02;1024;69;6.2;;;;;90
-0.02;-2.48;-1.65;11.57;1021;74;2;;;;;40
-0.74;-0.74;-2.15;8.57;1021;89;0;;;;;75
-1.27;-3.2;-2.15;0.57;1024;86;1.5;;;;;90
0.68;-1.78;-0.18;2.26;1024;64;2.1;;;;;90
0.58;0.58;-0.85;2.82;1022;65;0;;;;;90
1.33;-1.99;-0.85;2.82;1025;57;3.1;;;;;90
1.52;-0.02;0.82;2.82;1025;56;1.5;;;;;90
1.39;1.39;0.02;3.37;1023;58;0;;;;;75
1.8;-0.99;0.65;3.93;1025;58;2.6;;;;;90
1.71;-1.09;0.82;3.37;1025;55;2.6;;;;;90
-0.33;-0.33;-1.65;1.13;1024;68;0;;;;;75
-0.33;-0.33;-1.65;1.13;1027;63;0;;;;;90
-0.75;-0.75;-2.25;6.17;1027;78;0;;;;;75
-0.44;-3.09;-2.25;6.17;1030;68;2.1;;;;;90
0.27;-2.26;-1.2;3.69;1030;74;2.1;;;;;90
-1.4;-1.4;-2.55;5.17;1028;76;0;;;;;75
-0.53;-3.75;-1.18;1.2;1035;68;2.6;;;;;90
-0.53;-2.36;-2.95;3.87;1037;63;1.5;;;;;90
0.48;-2.02;-0.54;1.71;1038;56;2.1;;;;;90
0.02;-2.43;-2.45;1.71;1035;60;2;;;;;75
-0.42;-3.62;-2.45;4.47;1039;59;2.6;;;;;75
1.29;1.29;-1.95;5.37;1036;50;1;;;;;40
2.33;-1.48;-1.95;5.37;1039;48;4.1;;;;;40
1.82;-1.78;1.82;2.79;1039;47;3.6;;;;;40
-0.25;-2.75;-1.65;1.13;1036;68;2;;;;;20
-0.13;-5.14;-1.65;2.26;1040;60;5.1;;;;;1
-2.49;-5.36;-4.18;8.37;1038;86;2;;;;;4
-3.31;-8.43;-4.18;8.37;1041;85;4.1;;;;;1
-4.18;-9.87;-4.18;-3.32;1042;79;4.6;;;;;1
-3.1;-3.1;-4.18;1.65;1039;80;1;;;;;2
-9.18;-9.18;-9.18;-6.1;1041;92;0;;;;;1
-5.84;-5.84;-7.18;8.57;1041;85;1;;;;;1
-2.7;-2.7;-4.18;0.04;1041;74;1;;;;;20
0.15;-2.28;-1.51;8.17;1039;66;2;;;;;40
1.16;-4.3;-1.51;8.17;1041;55;6.7;;;;;20
2.09;-0.99;-0.51;6.47;1036;61;3;;;;;20
1.59;-3.29;0.29;6.47;1038;59;5.7;;;;;0
0.87;-4.44;0.29;3.9;1037;59;6.2;;;;;0
1;-1.29;-1.31;7.47;1035;68;2;;;;;20
0.13;-4.52;-2.18;7.47;1038;63;4.6;;;;;1
-1.75;-6.43;-3.18;7.97;1035;81;4;;;;;7
-1.1;-5.71;-3.18;7.97;1038;69;4.1;;;;;1
-2.5;-7.04;-4.18;0.6;1037;73;3.6;;;;;1
-1.72;-4.46;-4.18;9.47;1035;73;2;;;;;7
-5.23;-7.72;-7.18;-1.63;1034;74;1.5;;;;;40
-3.54;-5.79;-6.18;12.57;1033;74;1.5;;;;;1
-2.5;-5.5;-4.18;0.6;1033;74;2.1;;;;;1
-0.14;-0.14;-2.98;13.77;1030;69;1;;;;;20
2.01;0.54;-1.71;13.77;1031;54;1.5;;;;;1
4.6;4.6;3.62;11.27;1026;44;0;;;;;20
6.37;5.51;4.49;11.27;1028;41;1.5;;;;;0
9.06;7.32;7.15;12.88;1027;36;3.1;;;;;0
6.42;6.42;4.29;9.85;1023;38;0;;;;;20
2.82;2.82;1.13;2.82;1025;40;1;;;;;1
1.41;1.41;-2.91;9.95;1023;58;0;;;;;0
1.39;1.39;-2.91;9.95;1024;50;0.5;;;;;1
-1.72;-1.72;-4.18;2.82;1024;57;1;;;;;1
-0.54;-0.54;-6.71;8.37;1022;57;0;;;;;0
-0.68;-4.32;-1.18;0.01;1026;70;3;;;;;0
-1.04;-6.28;-1.18;3.57;1030;74;5.1;;;;;0
1.32;-3.87;0.82;3.9;1030;61;6.2;;;;;40
1.26;-0.99;-1.21;3.97;1028;64;2;;;;;20
1.67;-4.23;-1.21;3.97;1031;59;8.2;;;;;0
2.92;-1.26;-0.11;6.68;1028;55;5;;;;;0
1.91;-3.12;-0.11;4.57;1031;55;6.2;;;;;0
4.1;-0.12;1.82;8.01;1031;55;5.7;;;;;0
0.91;-1.4;-0.31;3.67;1028;64;2;;;;;0
-0.02;-4.7;-0.31;3.67;1031;63;4.6;;;;;0
-2;-5.9;-5.51;6.17;1029;84;3;;;;;0
-2.44;-5.43;-5.51;6.17;1032;79;2.1;;;;;1
-5.16;-5.16;-5.18;4.63;1033;85;0;;;;;1
-3.57;-3.57;-8.61;7.97;1030;89;1;;;;;0
-7.11;-7.11;-9.43;-3.29;1032;77;0;;;;;20
-6.03;-6.03;-9.71;9.67;1032;77;1;;;;;1
-5.22;-5.22;-7.18;10.18;1032;72;0;;;;;1
-1.23;-1.23;-4.18;11.17;1029;69;0;;;;;0
0.57;-1.1;-2.91;11.17;1031;63;1.5;;;;;1
3.23;3.23;1.92;12.27;1026;61;0;;;;;0
4.49;4.49;3.82;12.4;1029;51;1;;;;;0
4.82;4.82;4.82;12.4;1028;44;0;;;;;0
4.73;4.73;3.82;12.67;1025;48;0;;;;;0
-1.17;-1.17;-1.18;12.4;1028;63;0;;;;;1
-1.32;-1.32;-3.18;12.96;1026;78;0;;;;;0
-2.62;-5.64;-4.18;12.96;1028;79;2.1;;;;;1
-4.18;-6.52;-4.18;12.96;1028;79;1.5;;;;;1
-1.2;-1.2;-5.18;13.67;1025;68;0;;;;;0
-6.36;-10.68;-9.18;11.29;1026;76;2.6;;;;;1
-4.32;-4.32;-8.18;11.67;1024;75;0;;;;;20
-1.46;-3.42;-3.18;12.4;1026;68;1.5;;;;;1
1.56;1.56;0.32;14.47;1023;68;0;;;;;20
4.1;4.1;1.69;14.47;1026;51;1;;;;;1
6.27;6.27;3.82;12.24;1025;45;1;;;;;1
10.05;8.18;8.12;16.37;1017;41;0;;;;;40
10.77;8.95;10.55;16.37;1023;40;1.5;;;;;1
12.9;11.29;11.12;15.91;1023;40;3.6;;;;;0
11.18;9.58;9.59;14.07;1016;47;0;;;;;20
8.94;6.9;6.68;14.07;1023;53;3.6;;;;;0
5.21;5.21;1.59;11.27;1018;70;0;;;;;10
3.25;3.25;1.13;11.27;1024;69;1;;;;;1
-0.18;-0.18;-0.18;6.29;1024;80;1;;;;;1
2.51;2.51;-0.54;7.97;1019;82;0;;;;;86
-1.55;-4.39;-4.18;5.74;1024;78;2.1;;;;;20
-0.06;-0.06;-2.18;6.29;1025;79;1;;;;;75
2.95;2.95;1.82;5.57;1025;70;0;;;;;75
4.25;4.25;1.82;10.57;1022;70;0;;;;;40
4.03;2.13;1.82;9.27;1024;75;2.1;;;;;75
11.71;10.16;8.82;15.33;1023;47;1.5;;;;;40
10.6;9;9.42;12.79;1017;49;0;;;;;40
10.82;9.26;10.82;12.79;1022;50;1;;;;;40
11.82;10.26;7.4;11.82;1022;46;1;;;;;0
9.69;9.69;8.82;11.29;1018;58;0;;;;;20
7.28;5.53;6.82;11.29;1021;60;2.6;;;;;20
6.75;6.75;5.82;9.35;1018;67;0;;;;;40
3.83;3.83;3.82;7.4;1021;75;1;;;;;20
5.44;5.44;4.82;9.57;1018;75;0;;;;;75
3.27;3.27;1.68;9.17;1014;82;0;;;;;40
2.47;2.47;1.82;9.17;1017;93;1;0.14;;;;90
4.57;3.46;2.82;7.82;1016;81;1.5;;;;;90
5.65;5.65;3.82;9.47;1013;80;0;;;;;40
5.15;5.15;4.39;9.47;1016;86;1;;;;;75
7.03;7.03;5.82;13.35;1011;76;0;0.17;;;;75
7.76;5.76;6.59;11.68;1014;73;3.1;1.18;;;;75
8.15;6.56;6.28;11.58;1014;81;2.6;0.94;;;;90
6.45;6.45;5.82;9.46;1012;90;0;0.58;;;;40
5.88;5.88;4.99;7.47;1012;86;0;;;;;75
5.87;2.61;4.99;7.47;1015;81;4.6;;;;;90
4.83;1.32;4.07;6.13;1016;86;4.6;;;;;90
4.97;4.97;3.69;6.47;1013;85;1;;;;;75
1.61;1.61;0.82;4.07;1012;91;1;;;;;20
2.1;2.1;1.69;4.07;1015;93;1;;;;;1
4.64;2.85;3.82;7.24;1015;73;2.1;;;;;0
7.41;5.34;4.65;7.82;1014;65;3.1;;;;;0
9.77;8.92;5.77;10.82;1009;59;2;;;;;20
9.34;7.97;5.77;10.29;1012;53;2.6;;;;;20
10.87;9.32;8.89;13.95;1011;50;3.6;;;;;40
10.03;8.39;6.95;11.12;1008;50;3;;;;;40
6.82;5.39;5.18;6.82;1011;65;2.1;;;;;0
5.86;5.86;4.82;6.75;1008;65;1;;;;;40
4.24;1.52;3.82;6.75;1011;75;3.1;;;;;1
0.85;-2.56;0.82;6.29;1010;80;3.1;;;;;0
4.19;4.19;2.79;7.27;1007;74;1;;;;;20
6.58;6.58;5.39;7.77;1002;67;1;;;;;20
7.64;5.32;3.9;7.82;1007;61;3.6;0.15;;;;90
3.79;-1.66;2.82;6.85;1011;76;8.8;0.42;;;;75
3.38;3.38;0.89;6.77;1008;95;0;1.42;;;;40
3.97;-0.28;0.89;6.77;1011;86;5.7;1.59;;;;20
6.67;6.67;3.09;8.93;1007;68;1;;;;;20
6.58;5.11;3.09;8.37;1010;65;2.1;;;;;20
6.71;6.71;5.82;8.37;1010;64;1;;;;;0
5.11;5.11;3.49;5.65;1007;78;1;;;;;75
4.06;4.06;3.49;5.65;1010;80;1;;;;;20
4.02;4.02;1.82;6.71;1007;79;0;;;;;0
3.1;1.78;0.82;6.71;1010;75;1.5;;;;;20
3.34;1.33;1.82;6.15;1010;72;2.1;;;;;20
3.73;3.73;1.19;6.27;1008;80;0;;;;;40
1.82;-0.45;-0.71;1.82;1015;74;2.1;;;;;0
1.93;-1.26;-1.81;4.48;1016;75;3.1;;;;;0
2.95;-1.01;1.82;5.04;1017;70;4.6;;;;;0
3.49;3.49;-1.71;5.6;1015;63;1;;;;;40
2.78;-2.01;-1.71;6.68;1018;71;6.2;0.15;;;;90
4.88;0.36;0.87;7.26;1014;54;7;;;;;20
5.49;0.57;0.87;7.82;1017;50;8.8;;;;;40
4.82;0.04;4.82;6.13;1018;52;7.7;;;;;40
3.4;-0.66;-0.23;4.46;1015;57;5;;;;;20
2.65;-2.18;-0.23;4.29;1019;59;6.2;;;;;20
1.86;1.86;-1.03;2.52;1017;61;1;;;;;20
2.41;-1.95;-2.41;2.82;1020;59;5.1;;;;;0
0.82;-2.15;-2.61;1.13;1020;69;2.6;;;;;0
0.29;0.29;-3.21;1.72;1017;70;0;;;;;0
-2.78;-4.93;-5.18;1.71;1018;73;1.5;;;;;0
0.62;-1.85;-0.54;2.67;1019;59;2.1;;;;;0
1.06;1.06;-0.18;7.24;1019;58;0.5;;;;;0
2.92;2.92;1.69;4.48;1015;56;0;;;;;40
4.76;4.76;1.69;6.71;1017;50;1;;;;;0
8.99;8.99;6.75;11.71;1012;42;1;;;;;0
10.3;8.27;6.75;10.82;1014;34;4.6;;;;;0
10.87;9.11;9.23;14.31;1014;42;4.1;;;;;0
10.62;8.65;7.65;11.32;1010;35;5;;;;;0
9.54;7.39;7.65;10.49;1014;36;4.1;;;;;40
7.55;4.53;4.09;9.77;1010;50;5;;;;;0
5.95;2.71;4.09;9.77;1014;56;4.6;;;;;0
4.84;1.34;4.82;7.4;1015;60;4.6;;;;;0
4.72;4.72;1.49;9.97;1012;64;0;;;;;20
5.2;3.05;2.2;7.65;1017;65;2.6;;;;;90
8.17;8.17;3.49;9.97;1014;64;1;;;;;40
8.99;8.5;7.82;15.01;1019;61;1.5;;;;;75
10.27;8.89;8.82;11.82;1015;59;2;;;;;20
12.46;11.07;9.99;12.82;1018;50;6.2;;;;;0
17.09;15.79;13.82;17.26;1017;36;5.7;;;;;0
14.35;13.09;11.85;14.82;1013;48;4;;;;;0
15.31;14.05;11.85;15.82;1016;44;4.6;;;;;0
15.82;14.61;12.4;15.82;1016;44;5.1;;;;;0
14.9;13.73;12.37;15.42;1012;49;2;;;;;20
12.04;10.79;11.82;13.45;1016;57;1;;;;;0
9.97;9.97;6.29;13.51;1013;64;0;;;;;0
4.88;3.81;3.82;12.4;1017;80;1.5;;;;;0
4.82;3.06;4.82;12.4;1017;75;2.1;;;;;1
6.18;4.74;2.49;12.4;1014;79;2;;;;;0
-2.17;-2.17;-2.18;11.29;1017;100;1;;;;;1
0.92;0.92;-1.18;11.29;1016;93;0;;;;;20
4.88;2.67;4.82;11.85;1018;86;2.6;;;;;0
9.25;9.25;8.39;12.57;1015;66;0;;;;;0
11.54;10.24;8.39;12.57;1018;57;0.5;;;;;40
12.82;11.57;12.82;17.24;1018;54;6.2;;;;;90
12.68;11.41;11.25;15.57;1014;54;2;;;;;40
12.66;11.39;11.25;14.46;1017;54;6.2;;;;;40
12.82;11.57;12.82;13.9;1018;54;5.7;;;;;75
11.63;10.39;10.05;13.35;1014;59;0;;;;;20
9.85;9.48;9.82;10.17;1018;66;1.5;;;;;0
8.22;8.22;4.99;10.18;1014;71;1;;;;;20
6.18;6.18;4.99;10.18;1018;81;0;;;;;0
4.83;3.75;4.82;9.63;1018;80;1.5;;;;;1
6.19;3.94;3.49;9.77;1015;77;3;;;;;20
-0.18;-1.96;-0.18;1.68;1015;92;1.5;;;;;0
5.29;4.28;0.09;10.77;1014;80;1.5;;;;;0
6.84;6.84;6.82;13.16;1014;81;1;;;;;0
9.33;9.33;6.99;14.83;1010;69;1;;;;;0
14.16;12.7;6.99;14.83;1013;41;4.6;;;;;0
15.02;13.62;11.75;15.82;1008;40;5;;;;;20
16.14;14.83;11.5;16.82;1011;39;8.2;;;;;20
15.82;14.53;12.05;15.82;1011;41;7.7;;;;;40
14.62;13.26;10.94;15.22;1008;43;3;;;;;40
11.82;10.68;9.07;11.82;1013;62;3.1;;;;;75
12.41;11.27;9.07;12.82;1009;60;0;;;;;40
10.85;9.71;10.38;12.24;1014;66;4.6;;;;;40
10.82;9.81;10.82;10.94;1015;71;4.6;;;;;90
9.97;9.16;9.75;11.17;1012;77;2;;;;;40
6.82;4.98;6.82;7.4;1012;75;2.6;;;;;75
6.85;5.43;6.49;8.51;1010;75;2.1;;;;;20
8.82;7.73;8.82;10.57;1009;66;2.1;;;;;0
9.16;9.16;8.82;15.38;1005;68;0;;;;;0
10.1;8.65;9.82;15.38;1006;57;2.6;;;;;0
12.23;10.79;11.45;15.38;998;49;2;;;;;0
13.52;12.08;11.45;14.27;999;44;5.7;;;;;0
12.81;11.37;11.85;14.27;998;47;6.7;;;;;20
12.28;10.9;10.35;13.72;993;51;2;;;;;20
11.81;10.35;9.63;12.05;995;50;2.6;;;;;20
10.68;9.4;8.29;11.5;988;61;1;;;;;20
13.38;12;8.29;13.82;994;47;2.6;;;;;40
