course_id,sched_1_355,sched_2_1035,sched_3_418,sched_4_2543,stop_1_355,stop_2_1035,stop_3_418,stop_4_2543,stay_1_355,stay_2_1035,stay_3_418,stay_4_2543,daily_course,weekly_course
1143826,2020-01-11-19-36,2020-01-11-19-37,2020-01-11-19-38,2020-01-11-19-40,2020-01-11-19-36,2020-01-11-19-39,2020-01-11-19-40,2020-01-11-19-43,1,0,1,1,14,26
1143828,2020-01-11-20-44,2020-01-11-20-45,2020-01-11-20-46,2020-01-11-20-48,2020-01-11-20-44,2020-01-11-20-45,2020-01-11-20-46,2020-01-11-20-49,1,0,0,1,15,27
1143800,2020-01-12-05-29,2020-01-12-05-30,2020-01-12-05-31,2020-01-12-05-33,2020-01-12-05-28,2020-01-12-05-29,2020-01-12-05-30,2020-01-12-05-32,0,0,0,0.5,1,28
1143802,2020-01-12-06-29,2020-01-12-06-30,2020-01-12-06-31,2020-01-12-06-33,2020-01-12-06-28,2020-01-12-06-30,2020-01-12-06-31,2020-01-12-06-34,1,0,0.5,0.5,2,29
1143804,2020-01-12-07-39,2020-01-12-07-41,2020-01-12-07-42,2020-01-12-07-44,2020-01-12-07-37,2020-01-12-07-39,2020-01-12-07-40,2020-01-12-07-44,1,0,0.5,1,3,30
1143806,2020-01-12-08-42,2020-01-12-08-44,2020-01-12-08-45,2020-01-12-08-47,2020-01-12-08-41,2020-01-12-08-42,2020-01-12-08-43,2020-01-12-08-48,0,0,0.5,1,4,31
1143808,2020-01-12-09-56,2020-01-12-09-58,2020-01-12-09-59,2020-01-12-10-01,2020-01-12-09-55,2020-01-12-09-57,2020-01-12-09-58,2020-01-12-10-00,0.5,0,0.5,1,5,32
1143810,2020-01-12-11-03,2020-01-12-11-05,2020-01-12-11-06,2020-01-12-11-08,2020-01-12-11-02,2020-01-12-11-04,2020-01-12-11-05,2020-01-12-11-08,0.5,0,0.5,1,6,33
1143812,2020-01-12-12-06,2020-01-12-12-08,2020-01-12-12-09,2020-01-12-12-11,2020-01-12-12-05,2020-01-12-12-07,2020-01-12-12-08,2020-01-12-12-10,1,0.5,1,1,7,34
1143814,2020-01-12-13-09,2020-01-12-13-11,2020-01-12-13-12,2020-01-12-13-14,2020-01-12-13-09,2020-01-12-13-11,2020-01-12-13-12,2020-01-12-13-16,2,0.5,0.5,1,8,35
1143816,2020-01-12-14-12,2020-01-12-14-14,2020-01-12-14-15,2020-01-12-14-17,2020-01-12-14-12,2020-01-12-14-14,2020-01-12-14-15,2020-01-12-14-18,2,0.5,0,1,9,36
1143818,2020-01-12-15-15,2020-01-12-15-17,2020-01-12-15-18,2020-01-12-15-20,2020-01-12-15-15,2020-01-12-15-17,2020-01-12-15-18,2020-01-12-15-21,2,0.5,0.5,0,10,37
1143820,2020-01-12-16-26,2020-01-12-16-28,2020-01-12-16-29,2020-01-12-16-31,2020-01-12-16-26,2020-01-12-16-27,2020-01-12-16-29,2020-01-12-16-31,0.5,0,0,1,11,38
1143822,2020-01-12-17-31,2020-01-12-17-33,2020-01-12-17-34,2020-01-12-17-36,2020-01-12-17-31,2020-01-12-17-33,2020-01-12-17-34,2020-01-12-17-37,1,0,0.5,1,12,39
1143824,2020-01-12-18-34,2020-01-12-18-36,2020-01-12-18-37,2020-01-12-18-39,2020-01-12-18-34,2020-01-12-18-36,2020-01-12-18-37,2020-01-12-18-39,1,0.5,0.5,1,13,40
1143826,2020-01-12-19-36,2020-01-12-19-37,2020-01-12-19-38,2020-01-12-19-40,2020-01-12-19-36,2020-01-12-19-39,2020-01-12-19-40,2020-01-12-19-43,1,0.5,0.5,1,14,41
1143828,2020-01-12-20-44,2020-01-12-20-45,2020-01-12-20-46,2020-01-12-20-48,2020-01-12-20-44,2020-01-12-20-45,2020-01-12-20-46,2020-01-12-20-49,1,0,0,1,15,42
1143527,2020-01-13-05-30,2020-01-13-05-31,2020-01-13-05-33,2020-01-13-05-35,2020-01-13-05-29,2020-01-13-05-31,2020-01-13-05-32,2020-01-13-05-35,0,0,1,0.5,1,43
1143529,2020-01-13-06-42,2020-01-13-06-43,2020-01-13-06-45,2020-01-13-06-47,2020-01-13-06-42,2020-01-13-06-43,2020-01-13-06-44,2020-01-13-06-46,1,0,0,1,2,44
1143531,2020-01-13-07-44,2020-01-13-07-46,2020-01-13-07-48,2020-01-13-07-51,2020-01-13-07-55,2020-01-13-07-58,2020-01-13-07-59,2020-01-13-08-02,2,0,0,1,3,45
1143533,2020-01-13-08-58,2020-01-13-09-00,2020-01-13-09-02,2020-01-13-09-05,2020-01-13-09-07,2020-01-13-09-09,2020-01-13-09-11,2020-01-13-09-14,0.5,1,1,1,4,46
1143535,2020-01-13-10-28,2020-01-13-10-30,2020-01-13-10-32,2020-01-13-10-35,2020-01-13-10-29,2020-01-13-10-31,2020-01-13-10-33,2020-01-13-10-36,1,0,0.5,1,5,47
1143537,2020-01-13-11-39,2020-01-13-11-41,2020-01-13-11-43,2020-01-13-11-46,2020-01-13-11-38,2020-01-13-11-41,2020-01-13-11-42,2020-01-13-11-46,1,1,1,1,6,48
1143539,2020-01-13-12-50,2020-01-13-12-52,2020-01-13-12-54,2020-01-13-12-57,2020-01-13-12-49,2020-01-13-12-51,2020-01-13-12-53,2020-01-13-12-56,1,0.5,1,1,7,49
1143541,2020-01-13-14-01,2020-01-13-14-03,2020-01-13-14-05,2020-01-13-14-08,2020-01-13-14-02,2020-01-13-14-04,2020-01-13-14-05,2020-01-13-14-10,2,0,1,1,8,50
1143543,2020-01-13-15-12,2020-01-13-15-14,2020-01-13-15-16,2020-01-13-15-19,2020-01-13-15-12,2020-01-13-15-15,2020-01-13-15-17,2020-01-13-15-19,2,1,1,1,9,51
1143545,2020-01-13-16-29,2020-01-13-16-31,2020-01-13-16-33,2020-01-13-16-36,2020-01-13-16-29,2020-01-13-16-31,2020-01-13-16-33,2020-01-13-16-36,1,1,1,0.5,10,52
1143547,2020-01-13-17-41,2020-01-13-17-43,2020-01-13-17-45,2020-01-13-17-48,2020-01-13-17-48,2020-01-13-17-50,2020-01-13-17-52,2020-01-13-17-57,1,1,2,1,11,53
1143549,2020-01-13-18-52,2020-01-13-18-54,2020-01-13-18-56,2020-01-13-18-59,2020-01-13-19-10,2020-01-13-19-12,2020-01-13-19-13,2020-01-13-19-15,1,0,0,1,12,54
1143551,2020-01-13-19-59,2020-01-13-20-00,2020-01-13-20-02,2020-01-13-20-04,2020-01-13-20-17,2020-01-13-20-19,2020-01-13-20-19,2020-01-13-20-23,1,0,0,1,13,55
1143553,2020-01-13-21-10,2020-01-13-21-11,2020-01-13-21-13,2020-01-13-21-15,2020-01-13-21-35,2020-01-13-21-36,2020-01-13-21-37,2020-01-13-21-41,0,0,0.5,3,14,56
1143527,2020-01-14-05-30,2020-01-14-05-31,2020-01-14-05-33,2020-01-14-05-35,2020-01-14-05-29,2020-01-14-05-31,2020-01-14-05-32,2020-01-14-05-36,0.5,0,1,0.5,1,57
1143529,2020-01-14-06-42,2020-01-14-06-43,2020-01-14-06-45,2020-01-14-06-47,2020-01-14-06-42,2020-01-14-06-43,2020-01-14-06-44,2020-01-14-06-46,0,0,0.5,1,2,58
1143531,2020-01-14-07-44,2020-01-14-07-46,2020-01-14-07-48,2020-01-14-07-51,2020-01-14-07-49,2020-01-14-07-52,2020-01-14-07-53,2020-01-14-07-56,2,0,0,0.5,3,59
1143533,2020-01-14-08-58,2020-01-14-09-00,2020-01-14-09-02,2020-01-14-09-05,2020-01-14-09-09,2020-01-14-09-11,2020-01-14-09-12,2020-01-14-09-16,0.5,0,0,1,4,60
1143535,2020-01-14-10-28,2020-01-14-10-30,2020-01-14-10-32,2020-01-14-10-35,2020-01-14-10-28,2020-01-14-10-30,2020-01-14-10-31,2020-01-14-10-34,0,0.5,0.5,1,5,61
